Key,Id,English(en),Spanish(es),Italian(it),French(fr),Polish(pl),Ukrainian(uk),Russian(ru),German(de),Hungarian(hu),Romanian(ro),Arabic(ar)
"lute",8827921467695128,"Lute","Laúd","Liuto","Luth","Lutnia","Лютня","Лютня","Laute","Lant","Lăută","العود"
"lute.desc",8827921467695129,"A string instrument played at court.","Un instrumento de cuerda que se tocaba en la corte.","Strumento a corda suonato a corte.","Un instrument à cordes joué à la cour.","Dawny instrument muzyczny, jego kształt przypominał gruszkę.","Струнний інструмент, на якому грали при дворі.","Струнный инструмент, на котором играли при дворе.","Ein Saiteninstrument, das am Hof ​​gespielt wurde.","Az udvarban játszott vonós hangszer.","Un instrument cu coarde cântat la curte.","آلة موسيقية وترية يتم العزف عليها في المحكمة."
"main_town_hall",8827921467695130,"Main Town Hall","Ayuntamiento principal","Municipio principale","Hôtel de ville principal","Ratusz Główny","Головна ратуша","Главная ратуша","Rathaus","Fővárosháza","Primaria principala","قاعة المدينة الرئيسية"
"main_town_hall.desc",8827921467695131,"A tall town hall with a tower and museum.","Un alto ayuntamiento con torre y museo.","Un alto municipio con torre e museo.","Un grand hôtel de ville avec une tour et un musée.","Wysoki ratusz z wieżą i muzeum.","Висока ратуша з вежею та музеєм.","Высокая ратуша с башней и музеем.","Ein hohes Rathaus mit Turm und Museum.","Magas városháza toronnyal és múzeummal.","O primărie înaltă, cu un turn și un muzeu.","قاعة بلدية طويلة تحتوي على برج ومتحف."
"maria_curie",8827921467695134,"Maria Skłodowska-Curie","Maria Skłodowska-Curie","Maria Skłodowska-Curie","Maria Skłodowska-Curie","Maria Skłodowska-Curie","Марія Склодовська-Кюрі","Мария Склодовская-Кюри","Maria Skłodowska-Curie","Maria Skłodowska-Curie","Maria Skłodowska-Curie","ماريا كوري"
"maria_curie.desc",8827921467695135,"A brilliant scientist from Poland who discovered radioactivity. She was the first woman to win a Nobel Prize and won it twice!","Una brillante científica polaca que descubrió la radiactividad. Fue la primera mujer en ganar un Premio Nobel, ¡y lo ganó dos veces!","Una brillante scienziata polacca che scoprì la radioattività. Fu la prima donna a vincere il Premio Nobel, e lo vinse due volte!","Une brillante scientifique polonaise qui a découvert la radioactivité. Elle a été la première femme à recevoir un prix Nobel, et ce, à deux reprises !","Genialna polska uczona, odkryła promieniotwórczość. Była pierwszą kobietą, która otrzymała Nagrodę Nobla. I to dwukrotnie!","Геніальний вчений з Польщі, який відкрив радіоактивність. Вона була першою жінкою, яка отримала Нобелівську премію і отримала її двічі!","Блестящий учёный из Польши, открывший радиоактивность. Она стала первой женщиной, получившей Нобелевскую премию, и дважды!","Eine brillante Wissenschaftlerin aus Polen, die die Radioaktivität entdeckte. Sie war die erste Frau, die einen Nobelpreis erhielt, und das gleich zweimal!","Egy zseniális lengyel tudós, aki felfedezte a radioaktivitást. Ő volt az első nő, aki Nobel-díjat kapott, és kétszer nyerte el!","Un om de știință strălucit din Polonia care a descoperit radioactivitatea. A fost prima femeie care a câștigat un premiu Nobel și l-a câștigat de două ori!","عالمة بولندية بارعة اكتشفت النشاط الإشعاعي. كانت أول امرأة تفوز بجائزة نوبل، وحصلت عليها مرتين!"
"maria_skodowskacurie",8827921467695136,"Maria Skłodowska‑Curie","María Skłodowska‑Curie","Maria Skłodowska-Curie","Maria Skłodowska-Curie","Maria Skłodowska‑Curie","Марія Склодовська‑Кюрі","Мария Склодовская-Кюри","Maria Skłodowska‑Curie","Maria Skłodowska-Curie","Maria Skłodowska-Curie","ماريا سكلودوفسكا كوري"
"maria_skodowskacurie.desc",8827921467695137,"A scientist who won two Nobel Prizes.","Un científico que ganó dos premios Nobel.","Uno scienziato che ha vinto due premi Nobel.","Un scientifique qui a remporté deux prix Nobel.","Uczona, która zdobyła dwie Nagrody Nobla.","Вчений, лауреат двох Нобелівських премій.","Ученый, лауреат двух Нобелевских премий.","Ein Wissenschaftler, der zwei Nobelpreise gewonnen hat.","Két Nobel-díjat kapott tudós.","Un om de știință care a câștigat două premii Nobel.","عالم حصل على جائزتي نوبل."
"market_traders",16699856516014086,"Market traders","Comerciantes del mercado","Commercianti di mercato","les commerçants du marché","Sprzedawca na targu","Ринкові торговці","Торговцы на рынке","Markthändler","Piaci kereskedők","Comercianții de piață","تجار السوق"
"market_traders.desc",16699856516014087,"Merchants sell food and other goods at market stalls. You can find fishmongers, cheesemongers, grocers, and fruit and vegetable vendors. You can buy fresh produce.","Los comerciantes venden alimentos y otros productos en los puestos del mercado. Encontrarás pescaderías, queserías, tiendas de comestibles y vendedores de frutas y verduras. Puedes comprar productos frescos.","I commercianti vendono cibo e altri beni sulle bancarelle del mercato. Puoi trovare pescivendoli, venditori di formaggi, droghieri e venditori di frutta e verdura. Puoi acquistare prodotti freschi.","Les commerçants ou marchands vendent des produits alimentaires et autres marchandises sur les étals des marchés. On peut trouver le poissonnier, les fromager, l'épicier, le marchands de fruits et légumes. Tu peux acheter des produits frais. ","Kupcy sprzedają żywność i inne towary na straganach targowych. Można tu spotkać sprzedawców ryb, serów, artykułów spożywczych oraz owoców i warzyw. Można tu kupić świeże produkty.","Торговці продають продукти харчування та інші товари на ринкових кіосках. Ви можете знайти торговців рибою, сиром, бакалійниками, а також продавцями фруктів та овочів. Ви можете придбати свіжі продукти.","На рыночных прилавках торговцы продают продукты питания и другие товары. Здесь можно найти продавцов рыбы, сыра, бакалейщиков, а также продавцов фруктов и овощей. Можно купить свежие продукты.","An Marktständen verkaufen Händler Lebensmittel und andere Waren. Dort findet man Fischhändler, Käsehändler, Lebensmittelhändler sowie Obst- und Gemüseverkäufer. Man kann frische Produkte kaufen.","A kereskedők élelmiszert és egyéb árukat árulnak a piaci standokon. Halárusokat, sajtárusokat, élelmiszerboltosokat, valamint gyümölcs- és zöldségárusokat találhat. Friss termékeket is vásárolhat.","Comercianții vând alimente și alte bunuri la tarabe. Puteți găsi pescărie, brânzeturi, băcănii și vânzători de fructe și legume. Puteți cumpăra produse proaspete.","يبيع التجار المواد الغذائية وغيرها من السلع في أكشاك السوق. ستجد بائعي الأسماك، وبائعي الجبن، ومحلات البقالة، وبائعي الفاكهة والخضراوات. يمكنك شراء المنتجات الطازجة."
"marmot",8827921467695138,"Marmot","Marmota","Marmotta","Marmotte","Świstak","Бабак","Сурок","Murmeltier","Mormota","marmotă","المرموط"
"marmot.desc",8827921467695139,"A furry mountain animal that whistles.","Un animal peludo de montaña que silba.","Un animale di montagna peloso che fischia.","Un animal de montagne à fourrure qui siffle.","Zwierzę górskie z grubym futrem, charakterystycznie gwiżdże.","Пухнастий гірський звір, який свистить.","Мохнатое горное животное, которое свистит.","Ein pelziges Bergtier, das pfeift.","Szőrös hegyi állat, amely fütyül.","Un animal de munte cu blană care fluieră.","حيوان جبلي فروي يصدر صوت صفير."
"mars",8827921467695140,"Mars","Marte","Marte","Mars","Mars","Марс","Марс","Mars","Mars","Marte","المريخ"
"mars.desc",8827921467695141,"The red planet with dust and big volcanoes.","El planeta rojo con polvo y grandes volcanes.","Il pianeta rosso con polvere e grandi vulcani.","La planète rouge avec de la poussière et de grands volcans.","Czerwona planeta z pyłem i dużymi wulkanami.","Червона планета з пилом і великими вулканами.","Красная планета с пылью и большими вулканами.","Der rote Planet mit Staub und großen Vulkanen.","A vörös bolygó porral és nagy vulkánokkal.","Planeta roșie cu praf și vulcani mari.","الكوكب الأحمر مع الغبار والبراكين الكبيرة."
"marseillaise_1",8827921467695142,"Allons enfants","A todos los niños","Allons enfants","Allons enfants","Allons enfants","Allons enfants","Allons enfants","Allons enfants","Allons csecsemők","Allons enfants","ألون إنفانتس"
"marseillaise_1.desc",8827921467695143,"The first words of the anthem’s first line.","Las primeras palabras de la primera línea del himno.","Le prime parole del primo verso dell'inno.","Les premiers mots de la première ligne de l’hymne.","Pierwsze słowa hymnu francuskiego","Перші слова першого рядка гімну.","Первые слова первой строки гимна.","Die ersten Worte der ersten Zeile der Hymne.","A himnusz első sorának első szavai.","Primele cuvinte din primul vers al imnului.","الكلمات الأولى من السطر الأول من النشيد الوطني."
"marseillaise_2",8827921471889408,"De la patrie","De la patrie","Della patria","De la patrie","De la patrie","De la patrie","De la patrie","De la patrie","De la patrie","De la patrie","من الوطن"
"marseillaise_2.desc",8827921471889409,"Words from the anthem’s first line.","Palabras de la primera línea del himno.","Parole dal primo verso dell'inno.","Paroles de la première ligne de l’hymne.","Słowa z pierwszego wersu hymnu.","Слова з першого рядка гімну.","Слова из первой строки гимна.","Worte aus der ersten Zeile der Hymne.","Szavak a himnusz első sorából.","Cuvinte din primul vers al imnului.","كلمات من السطر الأول من النشيد الوطني."
"marseillaise_3",8827921471889410,"Le jour de la gloire","Le jour de la gloire","Le jour de la gloire","Le jour de la gloire","Dzień chwały","Le jour de la loire","Le jour de la gloire","Le jour de la gloire","Le jour de la gloire","Le jour de la gloire","Le jour de la gloire"
"marseillaise_3.desc",8827921471889411,"Words from the anthem’s first line.","Palabras de la primera línea del himno.","Parole dal primo verso dell'inno.","Paroles de la première ligne de l’hymne.","Słowa z pierwszego wersu hymnu.","Слова з першого рядка гімну.","Слова из первой строки гимна.","Worte aus der ersten Zeile der Hymne.","Szavak a himnusz első sorából.","Cuvinte din primul vers al imnului.","كلمات من السطر الأول من النشيد الوطني."
"marseillaise_4",8827921471889412,"Est arrivé","Est arrivé","Est arrivé","Est arrivé","Est Arrivé","Est arrivé","Est arrivé","Est arrivé","Várhatóan megérkezik","Este sosit","Est arrivé"
"marseillaise_4.desc",8827921471889413,"Words from the anthem’s first line.","Palabras de la primera línea del himno.","Parole dal primo verso dell'inno.","Paroles de la première ligne de l’hymne.","Słowa z pierwszego wersu hymnu.","Слова з першого рядка гімну.","Слова из первой строки гимна.","Worte aus der ersten Zeile der Hymne.","Szavak a himnusz első sorából.","Cuvinte din primul vers al imnului.","كلمات من السطر الأول من النشيد الوطني."
"marseillaise_music",8827921471889414,"La Marseillaise","La Marsellesa","La Marsigliese","La Marseillaise","Marsylianka","Марсельєза","Марсельеза","La Marseillaise","La Marseillaise","La Marseillaise","لامارسييز"
"marseillaise_music.desc",8827921471889415,"The French national song. People sing it at big events and sports games.","La canción nacional francesa. Se canta en grandes eventos y partidos deportivos.","L'inno nazionale francese. Viene cantato durante i grandi eventi e le partite sportive.","L'hymne national français. On le chante lors des grands événements et des compétitions sportives.","Francuski hymn narodowy, śpiewany podczas wielkich wydarzeń i zawodów sportowych.","Французька національна пісня. Люди співають її на великих заходах і спортивних іграх.","Французская национальная песня. Её поют на крупных мероприятиях и спортивных играх.","Das französische Nationallied. Es wird bei Großveranstaltungen und Sportspielen gesungen.","A francia nemzeti dal. Az emberek nagy rendezvényeken és sportjátékokon éneklik.","Cântecul național francez. Oamenii îl cântă la evenimente mari și jocuri sportive.","الأغنية الوطنية الفرنسية. يُغنّى بها الناس في المناسبات الكبرى والمباريات الرياضية."
"masquerade_mask",8827921471889416,"Masquerade Mask","Máscara de mascarada","Maschera di Carnevale","Masque de mascarade","Maska karnawałowa","Маскарадна маска","Маскарадная маска","Maskerade-Maske","Álarcos maszk","Masca de mascarada","قناع تنكر"
"masquerade_mask.desc",8827921471889417,"A mask for parties and balls.","Una máscara para fiestas y bailes.","Una maschera per feste e balli.","Un masque pour les fêtes et les bals.","Maska na imprezy i bale.","Маска для вечірок і балів.","Маска для вечеринок и балов.","Eine Maske für Partys und Bälle.","Maszk bulikhoz és bálokhoz.","O mască pentru petreceri și baluri.","قناع للحفلات والحفلات."
"math_compass",8827921471889418,"Compass","Compás","Compasso","Compas","Cyrkiel","Циркуль","Циркуль","Zirkel","Körző","Compas","فرجار"
"math_compass.desc",8827921471889419,"A tool that helps you draw perfect circles. It has two legs like scissors.","Una herramienta que te ayuda a dibujar círculos perfectos. Tiene dos patas, como unas tijeras.","Uno strumento che ti aiuta a disegnare cerchi perfetti. Ha due gambe come forbici.","Un outil qui permet de tracer des cercles parfaits. Il possède deux branches, comme des ciseaux.","Narzędzie, które pomaga rysować idealne okręgi. Ma dwie nogi jak nożyczki.","Інструмент, який допоможе вам малювати ідеальні кола. Має дві ніжки, як ножиці.","Инструмент, который поможет вам рисовать идеальные круги. У него две ножки, как у ножниц.","Ein Werkzeug, mit dem Sie perfekte Kreise zeichnen können. Es hat zwei Schenkel wie eine Schere.","Egy eszköz, amely segít tökéletes körök rajzolásában. Két lába van, mint az ollónak.","Un instrument care te ajută să desenezi cercuri perfecte. Are două picioare ca niște foarfece.","أداة تساعدك على رسم دوائر دقيقة. لها ساقان مثل المقص."
"math_ruler",8827921471889420,"Ruler","Gobernante","Governate","la règle","Linijka","Лінійка","Линейка","Herrscher","Uralkodó","Riglă","حاكم"
"math_ruler.desc",8827921471889421,"A straight tool used to measure how long things are. Rulers have numbers and lines.","Una herramienta recta que se usa para medir la longitud de las cosas. Las reglas tienen números y líneas.","Uno strumento dritto usato per misurare la lunghezza degli oggetti. I righelli hanno numeri e linee.","C'est un outil utilisé pour mesurer et tracer des lignes.","Proste narzędzie do pomiaru długości przedmiotów. Linijki mają cyfry i linie.","Прямий інструмент, який використовується для вимірювання довжини речей. Лінійки мають цифри та лінії.","Прямой инструмент для измерения длины предметов. Линейки имеют деления и цифры.","Ein gerades Werkzeug zum Messen der Länge von Dingen. Lineale haben Zahlen und Linien.","Egy egyenes eszköz a dolgok hosszúságának mérésére. A vonalzóknak számok és vonalak vannak.","Un instrument drept folosit pentru a măsura cât de lungi sunt lucrurile. Rigvetorii au numere și linii.","أداة مستقيمة تُستخدم لقياس طول الأشياء. المسطرة تحتوي على أرقام وخطوط."
"math_setsquare",8827921471889422,"Square","Cuadrado","Piazza","Carré","Ekierka","Квадрат","Квадрат","Quadrat","Négyzet","Pătrat","مربع"
"math_setsquare.desc",8827921471889423,"A triangle-shaped tool used to draw straight lines and right angles in math.","Una herramienta con forma de triángulo que se utiliza para dibujar líneas rectas y ángulos rectos en matemáticas.","Strumento a forma di triangolo utilizzato per disegnare linee rette e angoli retti in matematica.","Un outil en forme de triangle utilisé pour dessiner des lignes droites et des angles droits en mathématiques.","Narzędzie w kształcie trójkąta, służące do rysowania linii prostych i kątów prostych w matematyce.","Інструмент у формі трикутника, який використовується для малювання прямих ліній і прямих кутів у математиці.","Треугольный инструмент, используемый для рисования прямых линий и прямых углов в математике.","Ein dreieckiges Werkzeug, das in der Mathematik zum Zeichnen von geraden Linien und rechten Winkeln verwendet wird.","Egy háromszög alakú eszköz egyenesek és derékszögek rajzolására a matematikában.","Un instrument în formă de triunghi folosit pentru a desena linii drepte și unghiuri drepte în matematică.","أداة على شكل مثلث تستخدم لرسم الخطوط المستقيمة والزوايا القائمة في الرياضيات."
"mazurek_dabrowskiego",8827921471889424,"Mazurek Dąbrowskiego","Mazurek Dąbrowskiego","Mazurek Dąbrowskiego","Mazurek Dąbrowskiego","Mazurek Dąbrowskiego","Мазурек Домбровського","Mazurek Dąbrowskiego","Mazurek Dąbrowskiego","Mazurek Dąbrowskiego","Mazurek Dąbrowskiego","مازوريك دابروفسكيغو"
"mazurek_dabrowskiego.desc",8827921471889425,"Poland’s national anthem.","Himno nacional de Polonia.","Inno nazionale polacco.","L'hymne national de la Pologne.","Hymn narodowy Polski.","Гімн Польщі.","Государственный гимн Польши.","Polens Nationalhymne.","Lengyelország himnusza.","Imnul național al Poloniei.","النشيد الوطني البولندي."
"medieval_market",8827921471889426,"Medieval Market","Mercado medieval","Mercato medievale","Marché médiéval","Rynek średniowieczny","Середньовічний Ринок","Средневековый рынок","Mittelalterlicher Markt","Középkori piac","Piața medievală","السوق في العصور الوسطى"
"medieval_market.desc",8827921471889427,"An old-style market where people buy and sell goods.","Un mercado al estilo antiguo donde la gente compra y vende productos.","Un mercato vecchio stile dove le persone comprano e vendono merci.","Un marché à l'ancienne où les gens achètent et vendent des marchandises.","Stary rynek, na którym ludzie kupują i sprzedają towary.","Старий ринок, де люди купують і продають товари.","Рынок старого образца, где люди покупают и продают товары.","Ein Markt im alten Stil, auf dem Menschen Waren kaufen und verkaufen.","Régi stílusú piac, ahol az emberek árukat vásárolnak és adnak el.","O piață de stil vechi în care oamenii cumpără și vând mărfuri.","سوق على الطراز القديم حيث يشتري الناس ويبيعون البضائع."
"mercury",8827921471889428,"Mercury","Mercurio","Mercurio","Mercure","Merkury","Меркурій","Меркурий","Quecksilber","Higany","Mercur","الزئبق"
"mercury.desc",8827921471889429,"The closest planet to the Sun; small and very fast.","El planeta más cercano al Sol; pequeño y muy rápido.","Il pianeta più vicino al Sole; piccolo e molto veloce.","La planète la plus proche du Soleil ; petite et très rapide.","Najbliższa Słońcu planeta, mała i bardzo szybka.","Найближча до Сонця планета; маленький і дуже швидкий.","Самая близкая к Солнцу планета; маленькая и очень быстрая.","Der der Sonne am nächsten gelegene Planet; klein und sehr schnell.","A Naphoz legközelebbi bolygó; kicsi és nagyon gyors.","Cea mai apropiată planetă de Soare; mic si foarte rapid.","أقرب كوكب إلى الشمس، صغير وسريع جدًا."
"mermaid_of_warsaw",8827921471889430,"Mermaid of Warsaw","Sirena de Varsovia","Sirena di Varsavia","Sirène de Varsovie","Syrenka Warszawska","Русалка Варшавська","Русалка Варшавы","Meerjungfrau von Warschau","Varsói sellő","Sirena din Varșovia","حورية البحر وارسو"
"mermaid_of_warsaw.desc",8827921471889431,"The city’s symbol is a brave mermaid with a sword and shield. You can see her statue by the river.","El símbolo de la ciudad es una valiente sirena con espada y escudo. Su estatua se puede ver junto al río.","Il simbolo della città è una coraggiosa sirena con spada e scudo. La sua statua è visibile lungo il fiume.","Le symbole de la ville est une sirène courageuse armée d'une épée et d'un bouclier. Vous pouvez admirer sa statue au bord de la rivière.","Symbolem miasta jest odważna syrena z mieczem i tarczą. Jej posąg stoi nad Wisłą.","Символом міста є відважна русалка з мечем і щитом. Ви можете побачити її статую біля річки.","Символ города — отважная русалка с мечом и щитом. Её статуя находится у реки.","Das Symbol der Stadt ist eine tapfere Meerjungfrau mit Schwert und Schild. Ihre Statue ist am Fluss zu sehen.","A város jelképe egy bátor sellő karddal és pajzzsal. Láthatjuk a szobrát a folyó mellett.","Simbolul orașului este o sirenă curajoasă cu sabie și scut. Îi poți vedea statuia lângă râu.","رمز المدينة هو حورية بحر شجاعة تحمل سيفًا ودرعًا. يمكنك رؤية تمثالها على ضفاف النهر."
"mermaids_sword",8827921471889432,"Mermaid’s Sword","Espada de sirena","Spada della sirena","L'épée de la sirène","Miecz Syreny","Меч Русалки","Меч русалки","Schwert der Meerjungfrau","Sellő kardja","Sabia sirenei","سيف حورية البحر"
"mermaids_sword.desc",8827921471889433,"The mermaid’s sword that must be returned.","La espada de la sirena que debe ser devuelta.","La spada della sirena che deve essere restituita.","L’épée de la sirène qui doit être rendue.","Miecz syreny, który musi zostać zwrócony.","Меч русалки, який потрібно повернути.","Меч русалки, который необходимо вернуть.","Das Schwert der Meerjungfrau, das zurückgegeben werden muss.","A sellő kardja, amelyet vissza kell adni.","Sabia sirenei care trebuie returnată.","سيف حورية البحر الذي يجب إرجاعه."
"motawa_river",8827921471889434,"Motława River","Río Moldava","Fiume Motława","Rivière Motława","Rzeka Motława","Річка Мотлава","Река Мотлава","Fluss Mottlau","Motława folyó","Râul Motława","نهر موتلاوا"
"motawa_river.desc",8827921471889435,"The river that runs through Gdańsk to the sea.","El río que atraviesa Gdansk hasta el mar.","Il fiume che attraversa Danzica fino al mare.","La rivière qui traverse Gdańsk jusqu'à la mer.","Rzeka płynąca przez Gdańsk.","Річка, що протікає через Гданськ до моря.","Река, протекающая через Гданьск и впадающая в море.","Der Fluss, der durch Danzig zum Meer fließt.","A Gdańskon keresztül a tengerig tartó folyó.","Râul care trece prin Gdańsk până la mare.","النهر الذي يمر عبر غدانسك إلى البحر."
"mountain",8827921471889436,"Mountain","Montaña","Montagna","Montagne","Góra","Гора","Гора","Berg","Hegy","Munte","جبل"
"mountain_guide",8827921471889438,"Mountain Guide","Guía de montaña","Guida alpina","Guide de montagne","Przewodnik górski","Гірський путівник","Горный гид","Bergführer","Hegyi kalauz","Ghid montan","دليل الجبل"
"mountain_guide.desc",8827921471889439,"A person who helps people climb safely.","Una persona que ayuda a la gente a escalar con seguridad.","Una persona che aiuta le persone ad arrampicarsi in sicurezza.","Une personne qui aide les gens à grimper en toute sécurité.","Osoba, która pomaga ludziom bezpiecznie się wspinać.","Людина, яка допомагає людям безпечно підніматися.","Человек, который помогает людям безопасно совершать восхождения.","Eine Person, die Menschen beim sicheren Klettern hilft.","Olyan személy, aki segít az embereknek biztonságosan mászni.","O persoană care îi ajută pe oameni să urce în siguranță.","الشخص الذي يساعد الناس على التسلق بأمان."
"mountain.desc",8827921471889437,"The pillars of earth","Los pilares de la tierra","I pilastri della terra","Les piliers de la terre","Filary ziemi","Стовпи землі","Столпы земли","Die Säulen der Erde","A föld oszlopai","Stâlpii pământului","أعمدة الأرض"
"musical_score",8827921471889442,"Musical Score","Partitura musical","Spartito musicale","Partition musicale","Partytura muzyczna","Музична партитура","Музыкальное сопровождение","Musikpartitur","Zenei kotta","Partitură muzicală","النوتة الموسيقية"
"musical_score.desc",8827921471889443,"The written notes and words for a song.","Las notas escritas y las palabras de una canción.","Le note scritte e le parole di una canzone.","Les notes écrites et les paroles d'une chanson.","Zapis nutowy i słowa piosenki.","Написані ноти і слова для пісні.","Написанные ноты и слова песни.","Die geschriebenen Noten und Worte für ein Lied.","Az írott jegyzetek és szavak egy dalhoz.","Notele și cuvintele scrise pentru un cântec.","ملاحظات وكلمات مكتوبة لأغنية."
"national_stadium_warsaw",8827921471889446,"National Stadium (Warsaw)","Estadio Nacional (Varsovia)","Stadio Nazionale (Varsavia)","Stade national (Varsovie)","Stadion Narodowy (Warszawa)","Національний стадіон (Варшава)","Национальный стадион (Варшава)","Nationalstadion (Warschau)","Nemzeti Stadion (Varsó)","Stadionul național (Varșovia)","الملعب الوطني (وارسو)"
"national_stadium_warsaw.desc",8827921471889447,"A modern stadium for football games and concerts.","Un estadio moderno para partidos de fútbol y conciertos.","Uno stadio moderno per partite di calcio e concerti.","Un stade moderne pour les matchs de football et les concerts.","Nowoczesny stadion, na którym rozgrywane są mecze lub organizowane są koncerty.","Сучасний стадіон для футбольних ігор та концертів.","Современный стадион для футбольных матчей и концертов.","Ein modernes Stadion für Fußballspiele und Konzerte.","Modern stadion futballmérkőzésekhez és koncertekhez.","Un stadion modern pentru jocuri de fotbal și concerte.","ملعب حديث لمباريات كرة القدم والحفلات الموسيقية."
"navigation",8827921471889448,"Navigation","Navegación","Navigazione","Navigation","Nawigacja","Навігація","Навигация","Navigation","Navigáció","Navigare","ملاحة"
"navigation.desc",8827921471889449,"Finding the way at sea using lights, maps, and tools.","Encontrar el camino en el mar usando luces, mapas y herramientas.","Orientarsi in mare utilizzando luci, mappe e strumenti.","Trouver son chemin en mer à l'aide de lumières, de cartes et d'outils.","Wyznaczanie drogi na morzu za pomocą świateł, map i przyrządów nawigacyjnych.","Знайти шлях у морі за допомогою вогнів, карт та інструментів.","Ориентирование на море с помощью огней, карт и инструментов.","Mit Lichtern, Karten und Werkzeugen den Weg auf See finden.","Útkeresés a tengeren fények, térképek és eszközök segítségével.","Găsirea drumului pe mare folosind lumini, hărți și instrumente.","العثور على الطريق في البحر باستخدام الأضواء والخرائط والأدوات."
"necklace",8827921471889450,"Necklace","Collar","Collana","Collier","Naszyjnik","Кольє","Ожерелье","Halskette","Nyaklánc","Colier","قلادة"
"necklace.desc",8827921471889451,"A string of beads or shells you wear around your neck.","Una tira de cuentas o conchas que se lleva alrededor del cuello.","Una collana di perline o conchiglie da indossare intorno al collo.","Un collier de perles ou de coquillages que vous portez autour du cou.","Sznur koralików lub muszelek noszony na szyi.","Нитка намистин або черепашок, яку ви носите на шиї.","Нитка бус или ракушек, которую вы носите на шее.","Eine Perlen- oder Muschelkette, die Sie um den Hals tragen.","Egy gyöngysor vagy kagyló, amelyet a nyakában hord.","Un șir de mărgele sau scoici pe care îl porți în jurul gâtului.","سلسلة من الخرز أو الأصداف ترتديها حول رقبتك."
"neptune",8827921471889452,"Neptune","Neptuno","Nettuno","Neptune","Neptun","Нептун","Нептун","Neptun","Neptun","Neptun","نبتون"
"neptune_s_fountain",8827921476083712,"Neptune's Fountain","Fuente de Neptuno","Fontana di Nettuno","La fontaine de Neptune","Fontanna Neptuna","Фонтан Нептуна","Фонтан Нептуна","Neptunbrunnen","Neptun-kút","Fântâna lui Neptun","نافورة نبتون"
"neptune_s_fountain.desc",8827921476083713,"A famous fountain in Gdańsk with the sea god statue.","Una famosa fuente en Gdansk con la estatua del dios del mar.","Una famosa fontana di Danzica con la statua del dio del mare.","Une célèbre fontaine de Gdańsk avec la statue du dieu de la mer.","Słynna fontanna w Gdańsku z figurą boga morza.","Відомий фонтан у Гданську зі статуєю морського бога.","Знаменитый фонтан в Гданьске со статуей морского бога.","Ein berühmter Brunnen in Danzig mit der Statue des Meeresgottes.","Egy híres szökőkút Gdańskban a tengeristen szobrával.","O fântână faimoasă din Gdańsk cu statuia zeului mării.","نافورة شهيرة في غدانسك تضم تمثال إله البحر."
"neptune.desc",8827921471889453,"The sea god from old stories.","El dios del mar de las historias antiguas.","Il dio del mare delle vecchie storie.","Le dieu de la mer des vieilles histoires.","Bóg morza ze starych opowieści.","Морський бог із старих оповідань.","Морской бог из старых сказаний.","Der Meeresgott aus alten Geschichten.","A tenger istene a régi történetekből.","Zeul mării din povești vechi.","إله البحر من القصص القديمة."
"nicolaus_copernicus",8827921476083714,"Nicolaus Copernicus","Nicolás Copérnico","Niccolò Copernico","Nicolas Copernic","Mikołaj Kopernik","Микола Коперник","Николай Коперник","Nikolaus Kopernikus","Miklós Kopernikusz","Nicolaus Copernic","نيكولاس كوبرنيكوس"
"nicolaus_copernicus_house",8827921476083716,"Nicolaus Copernicus’ House","Casa de Nicolás Copérnico","Casa di Niccolò Copernico","Maison de Nicolas Copernic","Dom Mikołaja Kopernika","Будинок Миколи Коперника","Дом Николая Коперника","Nikolaus-Kopernikus-Haus","Miklós Kopernikusz háza","Casa lui Nicolaus Copernic","منزل نيكولاس كوبرنيكوس"
"nicolaus_copernicus_house.desc",8827921476083717,"It’s now a museum where you can learn about his life and scientific achievements.","Actualmente es un museo donde se puede aprender sobre su vida y sus logros científicos.","Ora è un museo dove è possibile scoprire di più sulla sua vita e sui suoi successi scientifici.","C'est aujourd'hui un musée où vous pourrez en apprendre davantage sur sa vie et ses réalisations scientifiques.","Obecnie mieści się tam muzeum, w którym można poznać historię jego życia i osiągnięć naukowych.","Зараз це музей, де можна дізнатися про його життя та наукові досягнення.","Сейчас здесь находится музей, где можно узнать о его жизни и научных достижениях.","Heute ist es ein Museum, in dem Sie mehr über sein Leben und seine wissenschaftlichen Errungenschaften erfahren können.","Ma múzeum, ahol megismerheti életét és tudományos eredményeit.","Acum este un muzeu unde puteți afla despre viața lui și realizările științifice.","أصبح الآن متحفًا حيث يمكنك التعرف على حياته وإنجازاته العلمية."
"nicolaus_copernicus_monument_warsaw",8827921476083718,"Nicolaus Copernicus Monument (Warsaw)","Monumento a Nicolás Copérnico (Varsovia)","Monumento a Nicola Copernico (Varsavia)","Monument Nicolas Copernic (Varsovie)","Pomnik Mikołaja Kopernika (Warszawa)","Пам'ятник Миколі Копернику (Варшава)","Памятник Николаю Копернику (Варшава)","Nikolaus-Kopernikus-Denkmal (Warschau)","Miklós Kopernikusz emlékmű (Varsó)","Monumentul lui Nicolaus Copernic (Varșovia)","نصب نيكولاس كوبرنيكوس التذكاري (وارسو)"
